"","downloaded","city","checkin","hotel_name","rating","stars","price_HUF","dist_center_km","dist_other_km","price_EUR","pricecat","price_avg","price_Sd","hotels","citytype"
"1","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","A&O Amsterdam Zuidoost",3.3,2,45358,8.3,"Schiphol repülőtér. Amsterdam (AMS): 13",146.316129032258,"avg",175.168028673835,137.256432680785,180,"big"
"2","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Acostar Hotel",2.7,2.5,118677,1,"Schiphol repülőtér. Amsterdam (AMS): 11",382.829032258065,"above avg",175.168028673835,137.256432680785,180,"big"
"3","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Alex Rooms",4.5,3,34352,9.7,"Schiphol repülőtér. Amsterdam (AMS): 8.0",110.812903225806,"avg",175.168028673835,137.256432680785,180,"big"
"4","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Amigo Budget Hostel",3,1.5,156151,3,"Schiphol repülőtér. Amsterdam (AMS): 13",503.712903225806,"above avg",175.168028673835,137.256432680785,180,"big"
"5","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Amrâth Grand Hotel Frans Hals",4.3,4,44271,17,"Schiphol repülőtér. Amsterdam (AMS): 11",142.809677419355,"avg",175.168028673835,137.256432680785,180,"big"
"6","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Amrâth Hotel Lapershoek Arenapark",3.6,4,25299,26,"Schiphol repülőtér. Amsterdam (AMS): 31",81.6096774193548,"avg",175.168028673835,137.256432680785,180,"big"
"7","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Amrath Hotel Alkmaar",4.3,4,23190,31,"Schiphol repülőtér. Amsterdam (AMS): 36",74.8064516129032,"avg",175.168028673835,137.256432680785,180,"big"
"8","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Amrath Hotel Theater Gooiland",3.6,4,20300,26,"Schiphol repülőtér. Amsterdam (AMS): 30",65.4838709677419,"below avg",175.168028673835,137.256432680785,180,"big"
"9","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Amsterdam Downtown Hotel",3.1,2,140541,1,"Schiphol repülőtér. Amsterdam (AMS): 11",453.358064516129,"above avg",175.168028673835,137.256432680785,180,"big"
"10","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Amsterdam Marriott Hotel",4.2,5,127734,1.4,"Schiphol repülőtér. Amsterdam (AMS): 11",412.045161290323,"above avg",175.168028673835,137.256432680785,180,"big"
"11","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Amsterdam Teleport Hotel",4.1,2.5,68583,4.3,"Schiphol repülőtér. Amsterdam (AMS): 10",221.235483870968,"avg",175.168028673835,137.256432680785,180,"big"
"12","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Andaz Amsterdam Prinsengracht - a concept by Hyatt",4.8,5,171770,0.9,"Schiphol repülőtér. Amsterdam (AMS): 11",554.096774193548,"above avg",175.168028673835,137.256432680785,180,"big"
"13","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Apollo Hotel Utrecht City Centre",3.7,4,26404,35,"Schiphol repülőtér. Amsterdam (AMS): 34",85.1741935483871,"avg",175.168028673835,137.256432680785,180,"big"
"14","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Art Hotel Dulac",4.1,4,85884,0.9,"Schiphol repülőtér. Amsterdam (AMS): 12",277.045161290323,"avg",175.168028673835,137.256432680785,180,"big"
"15","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Badhu",3.9,3,26547,34,"Schiphol repülőtér. Amsterdam (AMS): 34",85.6354838709677,"avg",175.168028673835,137.256432680785,180,"big"
